"cidr","hostmin","hostmax","vendor"
"3.0.0.0/15","3.0.0.0","3.1.255.255","AWS"
"3.0.5.32/29","3.0.5.32","3.0.5.39","AWS"
"3.5.0.0/18","3.5.0.0","3.5.63.255","AWS"
"3.5.128.0/22","3.5.128.0","3.5.131.255","AWS"
"3.5.132.0/23","3.5.132.0","3.5.133.255","AWS"
"3.5.208.0/22","3.5.208.0","3.5.211.255","AWS"
"3.5.212.0/23","3.5.212.0","3.5.213.255","AWS"
"3.6.0.0/15","3.6.0.0","3.7.255.255","AWS"
"3.6.70.76/30","3.6.70.76","3.6.70.79","AWS"
"3.7.25.48/30","3.7.25.48","3.7.25.51","AWS"
"3.8.0.0/14","3.8.0.0","3.11.255.255","AWS"
"3.8.37.24/29","3.8.37.24","3.8.37.31","AWS"
"3.8.168.0/23","3.8.168.0","3.8.169.255","AWS"
"3.9.94.0/24","3.9.94.0","3.9.94.255","AWS"
"3.10.17.0/25","3.10.17.0","3.10.17.127","AWS"
"3.10.17.128/25","3.10.17.128","3.10.17.255","AWS"
"3.10.127.32/27","3.10.127.32","3.10.127.63","AWS"
"3.10.201.64/27","3.10.201.64","3.10.201.95","AWS"
"3.11.53.0/24","3.11.53.0","3.11.53.255","AWS"
"3.12.0.0/16","3.12.0.0","3.12.255.255","AWS"
"3.12.23.88/30","3.12.23.88","3.12.23.91","AWS"
"3.12.23.92/30","3.12.23.92","3.12.23.95","AWS"
"3.12.216.0/22","3.12.216.0","3.12.219.255","AWS"
"3.13.0.0/16","3.13.0.0","3.13.255.255","AWS"
"3.14.0.0/15","3.14.0.0","3.15.255.255","AWS"
"3.15.35.0/24","3.15.35.0","3.15.35.255","AWS"
"3.15.36.0/26","3.15.36.0","3.15.36.63","AWS"
"3.15.36.64/26","3.15.36.64","3.15.36.127","AWS"
"3.16.0.0/14","3.16.0.0","3.19.255.255","AWS"
"3.16.146.0/29","3.16.146.0","3.16.146.7","AWS"
"3.17.136.0/23","3.17.136.0","3.17.137.255","AWS"
"3.20.0.0/14","3.20.0.0","3.23.255.255","AWS"
"3.24.0.0/14","3.24.0.0","3.27.255.255","AWS"
"3.25.43.0/24","3.25.43.0","3.25.43.255","AWS"
"3.25.44.0/23","3.25.44.0","3.25.45.255","AWS"
"3.25.47.28/30","3.25.47.28","3.25.47.31","AWS"
"3.25.47.32/30","3.25.47.32","3.25.47.35","AWS"
"3.32.0.0/16","3.32.0.0","3.32.255.255","AWS"
"3.34.0.0/15","3.34.0.0","3.35.255.255","AWS"
"3.34.37.0/24","3.34.37.0","3.34.37.255","AWS"
"3.34.38.0/23","3.34.38.0","3.34.39.255","AWS"
"3.34.89.192/30","3.34.89.192","3.34.89.195","AWS"
"3.34.89.196/30","3.34.89.196","3.34.89.199","AWS"
"3.80.0.0/12","3.80.0.0","3.95.255.255","AWS"
"3.83.168.0/22","3.83.168.0","3.83.171.255","AWS"
"3.91.171.128/25","3.91.171.128","3.91.171.255","AWS"
"3.96.0.0/15","3.96.0.0","3.97.255.255","AWS"
"3.96.2.68/30","3.96.2.68","3.96.2.71","AWS"
"3.96.2.72/30","3.96.2.72","3.96.2.75","AWS"
"3.98.0.0/15","3.98.0.0","3.99.255.255","AWS"
"3.101.0.0/16","3.101.0.0","3.101.255.255","AWS"
"3.101.52.208/30","3.101.52.208","3.101.52.211","AWS"
"3.101.52.212/30","3.101.52.212","3.101.52.215","AWS"
"3.104.0.0/14","3.104.0.0","3.107.255.255","AWS"
"3.104.82.0/23","3.104.82.0","3.104.83.255","AWS"
"3.105.172.0/22","3.105.172.0","3.105.175.255","AWS"
"3.112.0.0/14","3.112.0.0","3.115.255.255","AWS"
"3.112.23.0/29","3.112.23.0","3.112.23.7","AWS"
"3.112.64.0/23","3.112.64.0","3.112.65.255","AWS"
"3.112.96.160/27","3.112.96.160","3.112.96.191","AWS"
"3.112.162.0/23","3.112.162.0","3.112.163.255","AWS"
"3.113.218.0/26","3.113.218.0","3.113.218.63","AWS"
"3.113.218.76/30","3.113.218.76","3.113.218.79","AWS"
"3.120.0.0/14","3.120.0.0","3.123.255.255","AWS"
"3.120.181.40/29","3.120.181.40","3.120.181.47","AWS"
"3.122.128.0/23","3.122.128.0","3.122.129.255","AWS"
"3.123.12.192/26","3.123.12.192","3.123.12.255","AWS"
"3.123.14.0/24","3.123.14.0","3.123.14.255","AWS"
"3.123.15.0/25","3.123.15.0","3.123.15.127","AWS"
"3.124.0.0/14","3.124.0.0","3.127.255.255","AWS"
"3.127.48.244/30","3.127.48.244","3.127.48.247","AWS"
"3.127.48.248/30","3.127.48.248","3.127.48.251","AWS"
"3.128.0.0/15","3.128.0.0","3.129.255.255","AWS"
"3.128.93.0/24","3.128.93.0","3.128.93.255","AWS"
"3.130.0.0/16","3.130.0.0","3.130.255.255","AWS"
"3.131.0.0/16","3.131.0.0","3.131.255.255","AWS"
"3.132.0.0/14","3.132.0.0","3.135.255.255","AWS"
"3.134.215.0/24","3.134.215.0","3.134.215.255","AWS"
"3.136.0.0/13","3.136.0.0","3.143.255.255","AWS"
"3.208.0.0/12","3.208.0.0","3.223.255.255","AWS"
"3.216.135.0/24","3.216.135.0","3.216.135.255","AWS"
"3.216.136.0/21","3.216.136.0","3.216.143.255","AWS"
"3.216.144.0/23","3.216.144.0","3.216.145.255","AWS"
"3.216.148.0/22","3.216.148.0","3.216.151.255","AWS"
"3.217.228.0/22","3.217.228.0","3.217.231.255","AWS"
"3.218.180.0/22","3.218.180.0","3.218.183.255","AWS"
"3.218.180.0/25","3.218.180.0","3.218.180.127","AWS"
"3.218.180.128/25","3.218.180.128","3.218.180.255","AWS"
"3.218.181.0/25","3.218.181.0","3.218.181.127","AWS"
"3.218.181.128/25","3.218.181.128","3.218.181.255","AWS"
"3.218.182.0/25","3.218.182.0","3.218.182.127","AWS"
"3.218.182.128/25","3.218.182.128","3.218.182.255","AWS"
"3.218.183.0/25","3.218.183.0","3.218.183.127","AWS"
"3.218.183.128/25","3.218.183.128","3.218.183.255","AWS"
"3.224.0.0/12","3.224.0.0","3.239.255.255","AWS"
"3.227.250.128/25","3.227.250.128","3.227.250.255","AWS"
"3.231.2.0/25","3.231.2.0","3.231.2.127","AWS"
"3.234.232.224/27","3.234.232.224","3.234.232.255","AWS"
"3.235.112.0/21","3.235.112.0","3.235.119.255","AWS"
"3.235.189.96/30","3.235.189.96","3.235.189.99","AWS"
"3.235.189.100/30","3.235.189.100","3.235.189.103","AWS"
"3.236.48.0/23","3.236.48.0","3.236.49.255","AWS"
"3.236.169.192/26","3.236.169.192","3.236.169.255","AWS"
"3.237.107.0/25","3.237.107.0","3.237.107.127","AWS"
"3.248.0.0/13","3.248.0.0","3.255.255.255","AWS"
"3.248.186.92/30","3.248.186.92","3.248.186.95","AWS"
"3.248.244.240/30","3.248.244.240","3.248.244.243","AWS"
"3.249.28.0/23","3.249.28.0","3.249.29.255","AWS"
"3.251.56.0/24","3.251.56.0","3.251.56.255","AWS"
"13.32.0.0/15","13.32.0.0","13.33.255.255","AWS"
"13.34.22.160/27","13.34.22.160","13.34.22.191","AWS"
"13.34.22.192/27","13.34.22.192","13.34.22.223","AWS"
"13.34.22.224/27","13.34.22.224","13.34.22.255","AWS"
"13.34.23.0/27","13.34.23.0","13.34.23.31","AWS"
"13.34.23.32/27","13.34.23.32","13.34.23.63","AWS"
"13.34.23.64/27","13.34.23.64","13.34.23.95","AWS"
"13.34.23.96/27","13.34.23.96","13.34.23.127","AWS"
"13.34.23.128/27","13.34.23.128","13.34.23.159","AWS"
"13.34.23.160/27","13.34.23.160","13.34.23.191","AWS"
"13.34.23.192/27","13.34.23.192","13.34.23.223","AWS"
"13.34.23.224/27","13.34.23.224","13.34.23.255","AWS"
"13.34.24.96/27","13.34.24.96","13.34.24.127","AWS"
"13.34.24.128/27","13.34.24.128","13.34.24.159","AWS"
"13.34.24.160/27","13.34.24.160","13.34.24.191","AWS"
"13.34.24.192/27","13.34.24.192","13.34.24.223","AWS"
"13.34.25.64/27","13.34.25.64","13.34.25.95","AWS"
"13.34.25.96/27","13.34.25.96","13.34.25.127","AWS"
"13.35.0.0/16","13.35.0.0","13.35.255.255","AWS"
"13.48.0.0/15","13.48.0.0","13.49.255.255","AWS"
"13.48.4.192/29","13.48.4.192","13.48.4.199","AWS"
"13.48.4.200/30","13.48.4.200","13.48.4.203","AWS"
"13.48.32.0/24","13.48.32.0","13.48.32.255","AWS"
"13.48.74.0/24","13.48.74.0","13.48.74.255","AWS"
"13.48.186.128/27","13.48.186.128","13.48.186.159","AWS"
"13.48.186.160/27","13.48.186.160","13.48.186.191","AWS"
"13.52.0.0/16","13.52.0.0","13.52.255.255","AWS"
"13.52.6.112/29","13.52.6.112","13.52.6.119","AWS"
"13.52.118.0/23","13.52.118.0","13.52.119.255","AWS"
"13.52.146.192/26","13.52.146.192","13.52.146.255","AWS"
"13.52.201.0/24","13.52.201.0","13.52.201.255","AWS"
"13.52.202.0/24","13.52.202.0","13.52.202.255","AWS"
"13.52.232.224/27","13.52.232.224","13.52.232.255","AWS"
"13.53.0.0/16","13.53.0.0","13.53.255.255","AWS"
"13.53.180.0/23","13.53.180.0","13.53.181.255","AWS"
"13.54.0.0/15","13.54.0.0","13.55.255.255","AWS"
"13.54.63.128/26","13.54.63.128","13.54.63.191","AWS"
"13.55.255.216/29","13.55.255.216","13.55.255.223","AWS"
"13.56.0.0/16","13.56.0.0","13.56.255.255","AWS"
"13.56.32.200/29","13.56.32.200","13.56.32.207","AWS"
"13.57.0.0/16","13.57.0.0","13.57.255.255","AWS"
"13.58.0.0/15","13.58.0.0","13.59.255.255","AWS"
"13.59.250.0/26","13.59.250.0","13.59.250.63","AWS"
"13.112.0.0/14","13.112.0.0","13.115.255.255","AWS"
"13.112.191.184/29","13.112.191.184","13.112.191.191","AWS"
"13.113.196.64/26","13.113.196.64","13.113.196.127","AWS"
"13.113.203.0/24","13.113.203.0","13.113.203.255","AWS"
"13.124.0.0/16","13.124.0.0","13.124.255.255","AWS"
"13.124.145.16/29","13.124.145.16","13.124.145.23","AWS"
"13.124.199.0/24","13.124.199.0","13.124.199.255","AWS"
"13.124.247.0/24","13.124.247.0","13.124.247.255","AWS"
"13.125.0.0/16","13.125.0.0","13.125.255.255","AWS"
"13.126.0.0/15","13.126.0.0","13.127.255.255","AWS"
"13.127.70.136/29","13.127.70.136","13.127.70.143","AWS"
"13.208.0.0/16","13.208.0.0","13.208.255.255","AWS"
"13.208.170.0/23","13.208.170.0","13.208.171.255","AWS"
"13.208.180.0/24","13.208.180.0","13.208.180.255","AWS"
"13.209.0.0/16","13.209.0.0","13.209.255.255","AWS"
"13.209.1.56/29","13.209.1.56","13.209.1.63","AWS"
"13.210.0.0/15","13.210.0.0","13.211.255.255","AWS"
"13.210.2.192/26","13.210.2.192","13.210.2.255","AWS"
"13.210.67.128/26","13.210.67.128","13.210.67.191","AWS"
"13.212.0.0/15","13.212.0.0","13.213.255.255","AWS"
"13.224.0.0/14","13.224.0.0","13.227.255.255","AWS"
"13.228.0.0/15","13.228.0.0","13.229.255.255","AWS"
"13.228.69.0/24","13.228.69.0","13.228.69.255","AWS"
"13.230.0.0/15","13.230.0.0","13.231.255.255","AWS"
"13.232.0.0/14","13.232.0.0","13.235.255.255","AWS"
"13.232.67.128/27","13.232.67.128","13.232.67.159","AWS"
"13.232.67.160/27","13.232.67.160","13.232.67.191","AWS"
"13.233.177.0/29","13.233.177.0","13.233.177.7","AWS"
"13.233.177.192/26","13.233.177.192","13.233.177.255","AWS"
"13.234.8.0/23","13.234.8.0","13.234.9.255","AWS"
"13.234.221.192/26","13.234.221.192","13.234.221.255","AWS"
"13.235.6.0/23","13.235.6.0","13.235.7.255","AWS"
"13.235.228.0/24","13.235.228.0","13.235.228.255","AWS"
"13.236.0.0/14","13.236.0.0","13.239.255.255","AWS"
"13.236.8.0/25","13.236.8.0","13.236.8.127","AWS"
"13.236.82.96/27","13.236.82.96","13.236.82.127","AWS"
"13.236.82.128/27","13.236.82.128","13.236.82.159","AWS"
"13.239.158.0/29","13.239.158.0","13.239.158.7","AWS"
"13.244.0.0/15","13.244.0.0","13.245.255.255","AWS"
"13.244.121.196/30","13.244.121.196","13.244.121.199","AWS"
"13.248.0.0/20","13.248.0.0","13.248.15.255","AWS"
"13.248.16.0/21","13.248.16.0","13.248.23.255","AWS"
"13.248.24.0/22","13.248.24.0","13.248.27.255","AWS"
"13.248.28.0/22","13.248.28.0","13.248.31.255","AWS"
"13.248.32.0/20","13.248.32.0","13.248.47.255","AWS"
"13.248.48.0/21","13.248.48.0","13.248.55.255","AWS"
"13.248.56.0/22","13.248.56.0","13.248.59.255","AWS"
"13.248.60.0/22","13.248.60.0","13.248.63.255","AWS"
"13.248.96.0/24","13.248.96.0","13.248.96.255","AWS"
"13.248.97.0/24","13.248.97.0","13.248.97.255","AWS"
"13.248.98.0/24","13.248.98.0","13.248.98.255","AWS"
"13.248.99.0/24","13.248.99.0","13.248.99.255","AWS"
"13.248.100.0/24","13.248.100.0","13.248.100.255","AWS"
"13.248.101.0/24","13.248.101.0","13.248.101.255","AWS"
"13.248.102.0/24","13.248.102.0","13.248.102.255","AWS"
"13.248.103.0/24","13.248.103.0","13.248.103.255","AWS"
"13.248.104.0/24","13.248.104.0","13.248.104.255","AWS"
"13.248.105.0/24","13.248.105.0","13.248.105.255","AWS"
"13.248.106.0/24","13.248.106.0","13.248.106.255","AWS"
"13.248.107.0/24","13.248.107.0","13.248.107.255","AWS"
"13.248.108.0/24","13.248.108.0","13.248.108.255","AWS"
"13.248.109.0/24","13.248.109.0","13.248.109.255","AWS"
"13.248.111.0/24","13.248.111.0","13.248.111.255","AWS"
"13.248.112.0/24","13.248.112.0","13.248.112.255","AWS"
"13.248.113.0/24","13.248.113.0","13.248.113.255","AWS"
"13.248.114.0/24","13.248.114.0","13.248.114.255","AWS"
"13.248.115.0/24","13.248.115.0","13.248.115.255","AWS"
"13.248.116.0/24","13.248.116.0","13.248.116.255","AWS"
"13.248.117.0/24","13.248.117.0","13.248.117.255","AWS"
"13.248.118.0/24","13.248.118.0","13.248.118.255","AWS"
"13.248.119.0/24","13.248.119.0","13.248.119.255","AWS"
"13.248.120.0/24","13.248.120.0","13.248.120.255","AWS"
"13.248.121.0/24","13.248.121.0","13.248.121.255","AWS"
"13.248.122.0/24","13.248.122.0","13.248.122.255","AWS"
"13.248.123.0/24","13.248.123.0","13.248.123.255","AWS"
"13.248.124.0/24","13.248.124.0","13.248.124.255","AWS"
"13.248.125.0/24","13.248.125.0","13.248.125.255","AWS"
"13.248.126.0/24","13.248.126.0","13.248.126.255","AWS"
"13.248.127.0/24","13.248.127.0","13.248.127.255","AWS"
"13.248.128.0/17","13.248.128.0","13.248.255.255","AWS"
"13.249.0.0/16","13.249.0.0","13.249.255.255","AWS"
"13.250.0.0/15","13.250.0.0","13.251.255.255","AWS"
"13.250.186.128/27","13.250.186.128","13.250.186.159","AWS"
"13.250.186.160/27","13.250.186.160","13.250.186.191","AWS"
"13.251.113.64/26","13.251.113.64","13.251.113.127","AWS"
"13.251.116.0/23","13.251.116.0","13.251.117.255","AWS"
"15.152.0.0/16","15.152.0.0","15.152.255.255","AWS"
"15.156.0.0/15","15.156.0.0","15.157.255.255","AWS"
"15.161.0.0/16","15.161.0.0","15.161.255.255","AWS"
"15.161.135.164/30","15.161.135.164","15.161.135.167","AWS"
"15.164.0.0/15","15.164.0.0","15.165.255.255","AWS"
"15.164.156.0/23","15.164.156.0","15.164.157.255","AWS"
"15.164.243.32/27","15.164.243.32","15.164.243.63","AWS"
"15.164.243.192/27","15.164.243.192","15.164.243.223","AWS"
"15.177.0.0/18","15.177.0.0","15.177.63.255","AWS"
"15.177.64.0/23","15.177.64.0","15.177.65.255","AWS"
"15.177.66.0/23","15.177.66.0","15.177.67.255","AWS"
"15.177.68.0/23","15.177.68.0","15.177.69.255","AWS"
